,Team 0,Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9
0,1826.3817,-100.60841,2095.2776,449.70923,224.74149,1989.7468,1296.4734,-1256.4086,2323.3538,-855.7069
1,3693.2656,3318.7573,1507.9287,-892.2108,2082.4604,-115.40088,2573.4404,-1577.876,530.9997,754.6576
2,3714.1006,3582.6272,2355.7664,3849.3845,1524.0529,2204.3716,-1529.9966,-890.7711,1480.0378,2499.7021
3,3848.9705,2028.6064,3921.7847,-201.21533,344.81467,788.66974,-14.296509,292.37512,1727.5541,1258.3175
4,1736.3701,-1926.7148,1637.8732,351.87006,377.36917,2497.6465,1448.6685,2484.357,295.7022,800.9844
5,1166.1514,136.73825,2043.3927,1801.1378,3081.2266,-153.56952,-793.40564,486.6741,-593.71204,2712.4192
